document_id,eid,csv_title,api_title,csv_field,api_field,item_type,period,keywords,source_url,api_url,raw_file_path,collected_at,checksum,content_length,has_body,license_note,attribution,status,error
aks:E0000002,E0000002,ㄱ,ㄱ,언어/언어·문자,언어/문자,개념,조선/조선 전기,,http://encykorea.aks.ac.kr/Contents/Item/E0000002,https://devin.aks.ac.kr:8080/api/articles/E0000002,data/raw/api/E0000002.json,2026-08-28T04:43:51Z,8bf01ccc652bc376f8d4f39e34e48fb90a60469b97cac63d0d1f76152695bba4,831,true,항목 원고는 한국학중앙연구원이 저작재산권 전부를 보유한 범위에 한해 공공저작물 자유이용 가능; 출처 표기 필수. 미디어에는 이 조건을 일괄 적용하지 않음.,"[ㄱ],『한국민족문화대백과사전』",ok,
aks:E0000003,E0000003,ㄱ당,ㄱ당,역사/근대사,역사/근대사,단체,근대/일제강점기,신간회,http://encykorea.aks.ac.kr/Contents/Item/E0000003,https://devin.aks.ac.kr:8080/api/articles/E0000003,data/raw/api/E0000003.json,2026-08-28T04:43:51Z,90bcefa7e3724690962e181a1a15c37a20b2d287d02aa5c9bf3205033470f2bb,716,true,항목 원고는 한국학중앙연구원이 저작재산권 전부를 보유한 범위에 한해 공공저작물 자유이용 가능; 출처 표기 필수. 미디어에는 이 조건을 일괄 적용하지 않음.,"[ㄱ당],『한국민족문화대백과사전』",ok,
aks:E0000004,E0000004,ㄱ자집,ㄱ자집,생활/주생활,생활/주생활,개념,미상,,http://encykorea.aks.ac.kr/Contents/Item/E0000004,https://devin.aks.ac.kr:8080/api/articles/E0000004,data/raw/api/E0000004.json,2026-08-28T04:43:52Z,c9ffa16593e851ac1a8c090f33b1641a7f9023b096831f583406cf43ce592a60,1664,true,항목 원고는 한국학중앙연구원이 저작재산권 전부를 보유한 범위에 한해 공공저작물 자유이용 가능; 출처 표기 필수. 미디어에는 이 조건을 일괄 적용하지 않음.,"[ㄱ자집],『한국민족문화대백과사전』",ok,
aks:E0000005,E0000005,가,가,역사/고대사,역사/고대사,제도/관직,고대/초기국가,관명 군장 부족단체명 지배층,http://encykorea.aks.ac.kr/Contents/Item/E0000005,https://devin.aks.ac.kr:8080/api/articles/E0000005,data/raw/api/E0000005.json,2026-08-28T04:43:52Z,893d8a4732af19288f8ab74102cc455cb17bceb0f8f97d1f0869d272597fecb9,2751,true,항목 원고는 한국학중앙연구원이 저작재산권 전부를 보유한 범위에 한해 공공저작물 자유이용 가능; 출처 표기 필수. 미디어에는 이 조건을 일괄 적용하지 않음.,"[가],『한국민족문화대백과사전』",ok,
aks:E0000006,E0000006,가,가,역사/조선시대사,역사/조선시대사,물품,조선/조선 전기 | 조선/조선 후기,질 추 형구,http://encykorea.aks.ac.kr/Contents/Item/E0000006,https://devin.aks.ac.kr:8080/api/articles/E0000006,data/raw/api/E0000006.json,2026-08-28T04:43:52Z,e96623f857a81d8091de8dc5be288a895f862d5e7c56473de86de5f9fddd372b,518,true,항목 원고는 한국학중앙연구원이 저작재산권 전부를 보유한 범위에 한해 공공저작물 자유이용 가능; 출처 표기 필수. 미디어에는 이 조건을 일괄 적용하지 않음.,"[가],『한국민족문화대백과사전』",ok,
aks:E0000007,E0000007,가,가,예술·체육/국악,예술·체육/국악 | 역사/조선시대사,물품,조선/조선 후기,,http://encykorea.aks.ac.kr/Contents/Item/E0000007,https://devin.aks.ac.kr:8080/api/articles/E0000007,data/raw/api/E0000007.json,2026-08-28T04:43:52Z,cc40e69219926620cac35116abf41519e051497755c008c8854475e5c766b2ae,1083,true,항목 원고는 한국학중앙연구원이 저작재산권 전부를 보유한 범위에 한해 공공저작물 자유이용 가능; 출처 표기 필수. 미디어에는 이 조건을 일괄 적용하지 않음.,"[가],『한국민족문화대백과사전』",ok,
aks:E0000020,E0000020,가가,가가,생활/주생활,생활/주생활,개념,미상,뜸집 여막 초막,http://encykorea.aks.ac.kr/Contents/Item/E0000020,https://devin.aks.ac.kr:8080/api/articles/E0000020,data/raw/api/E0000020.json,2026-08-28T04:43:52Z,bdc0cebfe5e56d2a3486975e1072ca10d82a5adf4c7a27fce98b149b2a612d3a,363,true,항목 원고는 한국학중앙연구원이 저작재산권 전부를 보유한 범위에 한해 공공저작물 자유이용 가능; 출처 표기 필수. 미디어에는 이 조건을 일괄 적용하지 않음.,"[가가],『한국민족문화대백과사전』",ok,
aks:E0000021,E0000021,가가가음,가가가음,문학/고전시가,문학/고전시가,작품/문학,근대/개항기,경허 경허집 석문의범 성우 한용운,http://encykorea.aks.ac.kr/Contents/Item/E0000021,https://devin.aks.ac.kr:8080/api/articles/E0000021,data/raw/api/E0000021.json,2026-08-28T04:43:53Z,14953cb614f809b188a71e79b935069db61ab9e323d09f69140fae8cf9439aec,592,true,항목 원고는 한국학중앙연구원이 저작재산권 전부를 보유한 범위에 한해 공공저작물 자유이용 가능; 출처 표기 필수. 미디어에는 이 조건을 일괄 적용하지 않음.,"[가가가음],『한국민족문화대백과사전』",ok,
aks:E0000022,E0000022,가각고,가각고,역사/고려시대사,역사/고려시대사,제도/관청,고려/고려 후기 | 조선/조선 전기,경복궁 정전 공문서 소장 군국긴관문서 대신수의 문서 관리 문서 보존 물건문서 의정부 전적,http://encykorea.aks.ac.kr/Contents/Item/E0000022,https://devin.aks.ac.kr:8080/api/articles/E0000022,data/raw/api/E0000022.json,2026-08-28T04:43:53Z,b0f34794682b2fe5f37536c8a00620f3dc278620f342d1bfdf883b7441d0f8fb,586,true,항목 원고는 한국학중앙연구원이 저작재산권 전부를 보유한 범위에 한해 공공저작물 자유이용 가능; 출처 표기 필수. 미디어에는 이 조건을 일괄 적용하지 않음.,"[가각고],『한국민족문화대백과사전』",ok,
aks:E0000023,E0000023,가감역관,가감역관,역사/조선시대사,역사/조선시대사,제도/관직,조선/조선 후기,감역관 임시관직,http://encykorea.aks.ac.kr/Contents/Item/E0000023,https://devin.aks.ac.kr:8080/api/articles/E0000023,data/raw/api/E0000023.json,2026-08-28T04:43:53Z,42eaf1b71e4020342c1c3c0cc9308fa80b750e5e7bb7ea0c808c7b86e21dff7a,191,true,항목 원고는 한국학중앙연구원이 저작재산권 전부를 보유한 범위에 한해 공공저작물 자유이용 가능; 출처 표기 필수. 미디어에는 이 조건을 일괄 적용하지 않음.,"[가감역관],『한국민족문화대백과사전』",ok,
